_01_category,_02_state,_03_branch_name,_04_address,_05_latitude,_06_longitude,_07_google_map_url,_08_bank_data_url,_09_bank_type,_11_mother_bank_name
Local Bank,Kuala Lumpur,Bandar Sri Permaisuri,"95 & 97, Jalan Dwitasik 1, Bandar Sri Permaisuri, Cheras 56000 Kuala Lumpur",3.101154,101.712442,"https://maps.google.com?daddr=3.101154,101.712442",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Bintang Walk,"150, Jalan Bukit Bintang 55100 Kuala Lumpur",3.147532,101.71208,"https://maps.google.com?daddr=3.147532,101.71208",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Bukit Damansara,"36 - 40, Medan Setia 2Plaza Damansara, Bukit Damansara 50490 Kuala Lumpur",3.149187,101.653549,"https://maps.google.com?daddr=3.149187,101.653549",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Bandar Sri Damansara,"6, Jalan Tembaga SD5/2A, Bandar Sri Damansara 52200 Kuala Lumpur",3.201298,101.61992,"https://maps.google.com?daddr=3.201298,101.61992",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Bangsar Shopping Centre (Off-Site ATM),"285 Jalan Maarof,Bukit Bandaraya, Bangsar 51200 Kuala Lumpur",3.14279,101.667324,"https://maps.google.com?daddr=3.14279,101.667324",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Changkat Thambi Dollah,"85, 87 & 89, Changkat Thambi Dollah, Off Jalan Pudu 55100 Kuala Lumpur",3.140645,101.711522,"https://maps.google.com?daddr=3.140645,101.711522",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Jalan Hang Lekiu,"20 - 26,Jalan Hang Lekiu 50100 Kuala Lumpur",3.147678,101.697517,"https://maps.google.com?daddr=3.147678,101.697517",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Jalan Ipoh,"480, Wisma Yap Ka,3rd Mile Jalan Ipoh 51200 Kuala Lumpur",3.181363,101.681683,"https://maps.google.com?daddr=3.181363,101.681683",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Jalan Kelang Lama,"1, 3 & 5Jalan 1/137B Jalan Kelang Lama 58000 Kuala Lumpur",3.08577,101.67296,"https://maps.google.com?daddr=3.08577,101.67296",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Bangsar,"36 & 38, Jalan Maarof, Bangsar Baru, 59100 Kuala Lumpur",3.131475,101.672244,"https://maps.google.com?daddr=3.131475,101.672244",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Jalan Kuchai Lama,"44, 46, 48 & 50, Jalan 6/116B,Kuchai Entrepreneurs` Park, Off Jalan Kuchai Lama, 58200 Kuala Lumpur",3.091569,101.69014,"https://maps.google.com?daddr=3.091569,101.69014",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Jalan Pasar,"44 & 46,Jalan Pasar 55100 Kuala Lumpur",3.135356,101.715151,"https://maps.google.com?daddr=3.135356,101.715151",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Jalan Raja Laut,"Lot G3 & 1A.2,Bangunan KWSP, 5, Jalan Raja Laut 50350 Kuala Lumpur",3.153853,101.694826,"https://maps.google.com?daddr=3.153853,101.694826",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Jalan Sultan Sulaiman,"1st & 2nd Floor, Bangunan Public Bank, No. 6, Jalan Sultan Sulaiman 50000 Kuala Lumpur",3.138891,101.695699,"https://maps.google.com?daddr=3.138891,101.695699",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Jalan Sungai Besi,"12, Jalan Sungai Besi 57100 Kuala Lumpur",3.132268,101.713092,"https://maps.google.com?daddr=3.132268,101.713092",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Jalan Tun HS Lee,"Lot G.01,Plaza First Nationwide, 161, Jalan Tun H.S. Lee 50000 Kuala Lumpur",3.143837,101.696509,"https://maps.google.com?daddr=3.143837,101.696509",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Jalan Tun Sambanthan,"68, Jalan Tun Sambanthan,Brickfields 50470 Kuala Lumpur",3.133644,101.688766,"https://maps.google.com?daddr=3.133644,101.688766",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Kampung Baru - Full-fledged Islamic Branch,"1-1, 1-2 & 2-3, Plaza RAH,No. 111, Jalan Raja Abdullah, Kampung Baru 50300 Kuala Lumpur",3.166987,101.70339,"https://maps.google.com?daddr=3.166987,101.70339",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Kepong,"147, 149, 151 & 153,Jalan Rimbunan Raya 1, Laman Rimbunan, Kepong 52100 Kuala Lumpur",3.212627,101.647287,"https://maps.google.com?daddr=3.212627,101.647287",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Medan Idaman,"4, 6 & 8, Jalan Jernai 3Medan Idaman Business Centre, Batu 5, Jalan Gombak 53000 Kuala Lumpur",3.213623,101.712503,"https://maps.google.com?daddr=3.213623,101.712503",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Mont Kiara,"1 & 3, Jalan Solaris 1,Solaris Mont` Kiara 50480 Kuala Lumpur",3.174116,101.660513,"https://maps.google.com?daddr=3.174116,101.660513",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Overseas Union Garden,"3 & 5, Medan Hujan Rahmat,Taman Overseas Union 58200 Kuala Lumpur",3.073078,101.672945,"https://maps.google.com?daddr=3.073078,101.672945",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Pandan Indah,"1, 3 & 5, Jalan Pandan Indah 1/23, Pandan Indah 55100 Kuala Lumpur",3.132958,101.751235,"https://maps.google.com?daddr=3.132958,101.751235",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Pandan Jaya,"44, Jalan Pandan 2/2,Pandan Jaya 55100 Kuala Lumpur",3.134913,101.740766,"https://maps.google.com?daddr=3.134913,101.740766",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Salak South,"31 - 33, Ground Floor & 1st Floor,Jalan 3/108C, Taman Sungai Besi, Salak South 57100 Kuala Lumpur",3.092872,101.700562,"https://maps.google.com?daddr=3.092872,101.700562",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Segambut,"73, 75 & 77,Jalan Segambut Pusat 51200 Kuala Lumpur",3.185587,101.67699,"https://maps.google.com?daddr=3.185587,101.67699",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Seri Petaling,"40 - 44,Jalan Radin Tengah, Bandar Baru Seri Petaling 57000 Kuala Lumpur",3.068405,101.692435,"https://maps.google.com?daddr=3.068405,101.692435",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Setapak,"263, 265, 267 & 269,Jalan Genting Kelang, Setapak 53300 Kuala Lumpur",3.196289,101.71365,"https://maps.google.com?daddr=3.196289,101.71365",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Sentul,"36, 38 & 40, Jalan 14/48A,Sentul Raya Off Jalan Sentul 51000 Kuala Lumpur",3.184123,101.692225,"https://maps.google.com?daddr=3.184123,101.692225",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Taman Cheras,"1, 3, 5, 7 & 9, Jalan 4/96A,Taman Cheras Makmur 56100 Kuala Lumpur",3.101527,101.740383,"https://maps.google.com?daddr=3.101527,101.740383",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Taman Connaught,"80 - 84, Jalan Cerdas,Taman Connaught, Cheras 56000 Kuala Lumpur",3.081388,101.736546,"https://maps.google.com?daddr=3.081388,101.736546",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Taman Desa,"Lot 1A-3A, Business Centre,Taman Desa, Off Jalan Kelang Lama 58100 Kuala Lumpur",3.102839,101.68263,"https://maps.google.com?daddr=3.102839,101.68263",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Taman Maluri,"271, 273, 275 & 277,Jalan Mahkota, Taman Maluri, Cheras 55100 Kuala Lumpur",3.129375,101.731863,"https://maps.google.com?daddr=3.129375,101.731863",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Taman Melawati,"262 - 265, Jalan Bandar 12,Taman Melawati 53100 Kuala Lumpur",3.209898,101.747406,"https://maps.google.com?daddr=3.209898,101.747406",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Taman Midah,"2, 4 & 6, Jalan Midah 3,Taman Midah 56000 Kuala Lumpur",3.102027,101.732788,"https://maps.google.com?daddr=3.102027,101.732788",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Taman Tun Dr Ismail,"66, 68 & 70,Jalan Burhanuddin Helmi, Taman Tun Dr. Ismail 60000 Kuala Lumpur",3.152214,101.620595,"https://maps.google.com?daddr=3.152214,101.620595",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Tiong Nam,"Wisma Public Bank,300, Jalan Raja Laut 50350 Kuala Lumpur",3.163323,101.696137,"https://maps.google.com?daddr=3.163323,101.696137",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Wangsa Maju,"22 - 26, Jalan 1A/27A,Section 1, Wangsa Maju 53300 Kuala Lumpur",3.201342,101.732232,"https://maps.google.com?daddr=3.201342,101.732232",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Bank Negara (Off-Site ATM),"Sasana Kijang,Bank Negara Malaysia, Jalan Dato Onn 50480 Kuala Lumpur",3.152062,101.6925,"https://maps.google.com?daddr=3.152062,101.6925",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,"TAR College, Setapak (Off-Site ATM)","Kolej Tuanku Abdul Rahman, Kampus TARC, Jalan Genting Kelang 50932 Kuala Lumpur",3.216831,101.729744,"https://maps.google.com?daddr=3.216831,101.729744",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Mid-Valley Megamall (Off-Site ATM),"LGF Carrefour Entrance 1,80-1 Mid-Valley Megamall, Mid-Valley City 58000 Kuala Lumpur",3.117376,101.677844,"https://maps.google.com?daddr=3.117376,101.677844",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,SOGO (Off-Site ATM),"Kompleks Pernas Sogo,190, Jln Tuanku Abd Rahman 50100 Kuala Lumpur",3.156269,101.695506,"https://maps.google.com?daddr=3.156269,101.695506",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Sungai Wang Plaza (Off-Site ATM),"Sungai Wang Plaza,Jalan Sultan Ismail 50250 Kuala Lumpur",3.145056,101.711238,"https://maps.google.com?daddr=3.145056,101.711238",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,"Suria, KLCC (Off-Site ATM)","Suria KLCC, KCE-3 Concourse Floor,Suria KLCC, Kuala Lumpur City Centre 50088 Kuala Lumpur",3.157806,101.711714,"https://maps.google.com?daddr=3.157806,101.711714",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,"UTAR, Setapak (Off-Site ATM)","Universiti Tunku Abdul Rahman (UTARSK), Setapak Campus, Lot 9094, Jln Genting Kelang 53300 Kuala Lumpur",3.215647,101.73285,"https://maps.google.com?daddr=3.215647,101.73285",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,"TAR, Hostel, Setapakl (Off-Site ATM)","Universiti Tunku Abdul Rahman (UTARSK), Setapak Campus, Lot 9094, Jln Genting Kelang 53301 Kuala Lumpur",3.215647,101.73285,"https://maps.google.com?daddr=3.215647,101.73285",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Parliament House (Off-Site ATM),Bangunan Parlimen 55100 Kuala Lumpur,3.149732,101.679357,"https://maps.google.com?daddr=3.149732,101.679357",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Pavillion (Off-Site ATM),"Level 4 Pavillion KL Shopping Mall,168 Jalan Bukit Bintang 50480 Kuala Lumpur",3.148245,101.713255,"https://maps.google.com?daddr=3.148245,101.713255",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,"Traffic Police, KL (Off-Site ATM)","Traffic Police,Jalan Bandar 50000 Kuala Lumpur",3.141392,101.695952,"https://maps.google.com?daddr=3.141392,101.695952",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,The Mines (Off-Site ATM),"Lot No. L1-ATM2, Level 1,The Mines, Seri Kembangan 47100 Kuala Lumpur",3.027769,101.718162,"https://maps.google.com?daddr=3.027769,101.718162",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Jalan Bukit Bintang,"Ground & 1st Floor,Menara Hai-O, Off Jalan Bukit Bintang, 55100 Kuala Lumpur",3.143386,101.708474,"https://maps.google.com?daddr=3.143386,101.708474",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Jalan Sultan Sulaiman HP Centre,"28th Floor, Bangunan Public Bank,No. 6 Jalan Sultan Sulaiman, Kuala Lumpur 50000 Kuala Lumpur",3.138802,101.695826,"https://maps.google.com?daddr=3.138802,101.695826",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Jalan Sungai Besi HP Centre,"1st Floor,No. 12, Jalan Sungai Besi, Kuala Lumpur 57100 Kuala Lumpur",3.126563,101.711461,"https://maps.google.com?daddr=3.126563,101.711461",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,KL City HP Centre,"18th Floor, Menara Public Bank,No. 146, Jalan Ampang, Kuala Lumpur 50450 Kuala Lumpur",3.159895,101.710289,"https://maps.google.com?daddr=3.159895,101.710289",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Selayang HP Centre,"2nd Floor,No. 45, 47 & 49 Jalan 2/3A, Pusat Bandar Utara Selayang, Batu Caves 68100 Kuala Lumpur",3.234955,101.671375,"https://maps.google.com?daddr=3.234955,101.671375",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Setapak HP Centre,"2nd Floor,No. 263 & 265, Jalan Genting Kelang, Setapak, Kuala Lumpur 53300 Kuala Lumpur",3.196296,101.713657,"https://maps.google.com?daddr=3.196296,101.713657",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Taman Maluri HP Centre,"2nd Floor, No. 275 & 277,Jalan Mahkota, Taman Maluri, 55100 Kuala Lumpur",3.129375,101.731859,"https://maps.google.com?daddr=3.129375,101.731859",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Bandar Menjalara,"71 & 73, Jalan 3/62ABandar Menjalara Off Jalan Kepong 52200 Kuala Lumpur",3.195097,101.631382,"https://maps.google.com?daddr=3.195097,101.631382",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Bukit Jalil,"2 & 2A,Jalan Jalil Jaya 6, Jalil Link, Bukit Jalil, 57000 Kuala Lumpur",3.059108,101.67352,"https://maps.google.com?daddr=3.059108,101.67352",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Kuala Lumpur City Main Office,"Ground Floor,Menara Public Bank, 146, Jalan Ampang, 50450 Kuala Lumpur",3.159895,101.710289,"https://maps.google.com?daddr=3.159895,101.710289",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Taman Cheras Share Investment Unit,"1, 3 & 5, Jalan 4/96A, Taman Cheras Makmur, 56100 Kuala Lumpur",3.101542,101.740319,"https://maps.google.com?daddr=3.101542,101.740319",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Kepong Baru Share Investment Unit,"147, 149, 151 & 153, Jalan Rimbunan Raya 1, Laman Rimbunan, Jalan Kepong, 52100 Kuala Lumpur",3.212289,101.64775,"https://maps.google.com?daddr=3.212289,101.64775",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Taman Maluri Share Investment Unit,"275 & 277, Jalan Mahkota, Taman Maluri, Cheras, 55100 Kuala Lumpur",3.129375,101.731859,"https://maps.google.com?daddr=3.129375,101.731859",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Seri Petaling Share Investment Unit,"40-42, Jalan Radin Tengah,Bandar Baru Seri Petaling, 57000 Kuala Lumpur",3.068471,101.692328,"https://maps.google.com?daddr=3.068471,101.692328",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Head Office Share Investment Unit,"6th Floor, Menara Public Bank, 146 Jalan Ampang, 50450 Kuala Lumpur",3.159895,101.710289,"https://maps.google.com?daddr=3.159895,101.710289",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Starparc Point Share Investment Unit,"B-01-01 & B-01-03A, Pusat Komersial Setapak, 68 Jalan Taman Ibu Kota, Setapak, 53300 Kuala Lumpur",3.204089,101.721913,"https://maps.google.com?daddr=3.204089,101.721913",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
Local Bank,Kuala Lumpur,Jalan Raja Chulan,"Level 1 & 7,Menara Public Bank 2, 78, Jalan Raja Chulan, 50200 Kuala Lumpur",3.150977,101.707463,"https://maps.google.com?daddr=3.150977,101.707463",https://www.pbebank.com/Personal-Banking/Branch-Locators.aspx ,Branches,Public Bank
