_01_category,_02_state,_03_branch_name,_04_address,_07_google_map_url,_08_bank_data_url,_09_bank_type,_11_mother_bank_name
Local Bank,Selangor,Ampang,"No 2G, Jalan Wawasan 2/4, Bandar Baru Ampang, 68000 Ampang Selangor","https://www.google.com/maps/place/CIMB/@3.1455019,101.7691612,20z/data=!4m8!1m2!2m1!1sCIMB+No+2G,+Jalan+Wawasan+2%2F4,+Bandar+Baru+Ampang,+68000+Ampang+Selangor!3m4!1s0x0:0x3200bb28ed32d22!8m2!3d3.145575!4d101.7689089","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,"Taman Putra, Ampang  ","29 & 31, Jalan Bunga Tanjong 9C, Taman Putra, 68000 Ampang, Selangor","https://www.google.com/maps/place/CIMB+Bank+Taman+Putra,+Ampang/@3.1201896,101.7629224,21z/data=!4m12!1m6!3m5!1s0x31cc36854743ee1f:0x84ae8137aaf5de5c!2sCIMB+Bank+Taman+Putra,+Ampang!8m2!3d3.1202404!4d101.7628658!3m4!1s0x31cc36854743ee1f:0x84ae8137aaf5de5c!8m2!3d3.1202404!4d101.7628658","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,Taman Taming Jaya,"No 2-2-G & 2-2-1, Wisma Pauson, Jalan Taming Kanan Satu, Taman Taming Jaya, 43200 Balakong, Selangor","https://www.google.com/maps/place/CIMB+Bank/@3.0251986,101.7406614,21z/data=!4m5!3m4!1s0x31cdcacfd624d161:0xb0b241547138428f!8m2!3d3.025203!4d101.7407609","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,Universiti Kebangsaan Malaysia,"Lot 1.04 & 1.05, Level 1, Wisma UNIKEB, Universiti Kebangsaan Malaysia, 43600 UKM Bangi, Selangor","https://www.google.com/maps/place/CIMB+Islamic/@2.927187,101.7736902,19.38z/data=!4m8!1m2!2m1!1sCIMB+Lot+1.04+%26+1.05,+Level+1,+Wisma+UNIKEB,+Universiti+Kebangsaan+Malaysia,+43600+UKM+Bangi,+Selangor!3m4!1s0x31cdc93e9f6c37a7:0x892cb396b927d9ac!8m2!3d2.9266945!4d101.7734143","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,Bandar Baru Bangi,"No 67, Jalan 8/1, Section 8, 43650 Bandar Baru Bangi, Selangor","https://www.google.com/maps/place/CIMB+Bank+Bandar+Baru+Bangi/@2.9643005,101.753824,21z/data=!4m5!3m4!1s0x31cdcbd287772dd9:0x4170cdd0aa200b8c!8m2!3d2.9643278!4d101.7539083","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,Banting,"135-137, Jalan Sultan Abdul Samad, 42700 Banting, Selangor","https://www.google.com/maps/place/CIMB+Bank+Banting/@2.8140029,101.5048266,21z/data=!4m5!3m4!1s0x31cdb840eb7b390f:0xf07f304214c00e1c!8m2!3d2.8137495!4d101.5047579","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,Taman Seri Gombak,"2 & 4, Jalan SG 1/2, Taman Seri Gombak, 68100 Batu Caves, Selangor","https://www.google.com/maps/place/CIMB+Bank+Taman+Seri+Gombak/@3.2364913,101.6992046,21z/data=!4m12!1m6!3m5!1s0x31cc477bb903a393:0x150004a8dc7876eb!2sCIMB+Bank+Taman+Seri+Gombak!8m2!3d3.2364913!4d101.6992046!3m4!1s0x31cc477bb903a393:0x150004a8dc7876eb!8m2!3d3.2364913!4d101.6992046","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,Dataran C180,"1, Jalan C180/2, 43200 Cheras, Selangor","https://www.google.com/maps/place/CIMB+Bank/@3.0362076,101.7637131,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc34cdb9dee3ad:0x6b6903afeba9cac7!8m2!3d3.0362022!4d101.7659018","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,Cyberjaya,"Prima 5-A, Jalan Teknokrat 5, 63000 Cyberjaya, Selangor","https://www.google.com/maps/place/CIMB+Bank+Cyberjaya/@2.9212612,101.6556964,19.08z/data=!4m5!3m4!1s0x31cdb6f956c08515:0x7085c4c412825c14!8m2!3d2.921244!4d101.6560338","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,Taman Nilam Dengkil,"No 3, Jalan Nilam 1, Taman Nilam, 43800 Dengkil, Selangor","https://www.google.com/maps/place/CIMB+Bank+Taman+Nilam+Dengkil/@2.8650154,101.673945,19z/data=!4m12!1m6!3m5!1s0x31cdb8307eb1920f:0x5692437eaa4a86cd!2sCIMB+Bank+Taman+Nilam+Dengkil!8m2!3d2.8649107!4d101.6738561!3m4!1s0x31cdb8307eb1920f:0x5692437eaa4a86cd!8m2!3d2.8649107!4d101.6738561","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,Kajang,"Ground & first Floor, Block A-2 & A-3, MKH Avenue, Jalan Avenue 1A, 43000 Kajang, Selangor ","https://www.google.com/maps/place/CIMB+Bank+Kajang+Avenue/@2.9924244,101.7918167,20z/data=!4m6!3m5!1s0x31cdcb821b7bd711:0x6714e445074616c6!8m2!3d2.9924538!4d101.791891!16s%2Fg%2F11fxqvw31x?entry=ttu","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,Pearl Avenue Kajang,"Ground Floor, PA-S-16 Pearl Avenue Shop, Jalan Pasir Emas, Sungai Chua 43000 Kajang, Selangor ","https://www.google.com/maps/place/CIMB+Bank/@2.9832263,101.7788974,17z/data=!3m1!4b1!4m5!3m4!1s0x31cdcb976822e60f:0x40841d9e8c6d114!8m2!3d2.9832209!4d101.7810861","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,"Bangunan UMNO, Kapar","Lot 6, Bangunan UMNO, Jalan Besar, 42200 Kapar, Selangor","https://www.google.com/maps/place/CIMB+Bank+Bangunan+Umno,+Kapar/@3.136963,101.3739298,21z/data=!4m12!1m6!3m5!1s0x31cc5643d250707f:0x1782688b4714e42!2sCIMB+Bank+Bangunan+Umno,+Kapar!8m2!3d3.1369898!4d101.3739481!3m4!1s0x31cc5643d250707f:0x1782688b4714e42!8m2!3d3.1369898!4d101.3739481","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,Plaza Centro Klang,"G107-108, Plaza Centro, Jalan Batu Tiga Lama, 41300 Klang, Selangor","https://www.google.com/maps/place/CIMB+Bank+Plaza+Centro/@3.0526169,101.4630482,21z/data=!4m5!3m4!1s0x31cc533d2dcf015b:0x357f2b108e6d8213!8m2!3d3.0526169!4d101.4630482","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,"Jalan Dato Hamzah, Klang","Ground and 1st Floor, Wisma Southern, No. 26-34, Jalan Dato' Hamzah, 41000 Klang","https://www.google.com/maps/place/CIMB+Bank+Jalan+Dato+Hamzah,+Klang/@3.0412437,101.4481756,18z/data=!4m5!3m4!1s0x31cdaccf54cd64f3:0xbf99f0287be87d61!8m2!3d3.0411583!4d101.4482421","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,Bukit Tinggi,"No. 22A, Lorong Batu Nilam 4B, Bandar Bukit Tinggi, 41200 Klang","https://www.google.com/maps/place/CIMB+Bank+Bandar+Bukit+Tinggi+Klang/@3.0070416,101.435069,21z/data=!4m8!1m2!2m1!1sCIMB+No.+22A,+Lorong+Batu+Nilam+4B,+Bandar+Bukit+Tinggi,+41200+Klang,!3m4!1s0x31cdac9d4e0c652d:0x7be8e53605de4d56!8m2!3d3.0071608!4d101.4350637","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,CIMB Bank CASA Klang,"GF-B CASA KLANG 39 Block A/KU01, Jalan Meru, 41050 Klang, Selangor","https://www.google.com/maps/place/CIMB+Klang/@3.0521334,101.4435926,15.25z/data=!4m5!3m4!1s0x0:0xcfa245552f4f2933!8m2!3d3.0519182!4d101.4497066","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,Pelabuhan Klang,"No 108, Persiaran Raja Muda Musa, KS4 42000 Pelabuhan Klang, Selangor","https://www.google.com/maps/place/Port+Klang+CIMB+Bank+Branch/@3.0085519,101.4006511,16z/data=!4m8!1m2!2m1!1sCIMB+No+108,+Persiaran+Raja+Muda+Musa,+KS4+42000+Pelabuhan+Klang,+Selangor!3m4!1s0x31cdab0f58ac7b43:0x1f7497532ad7ea4c!8m2!3d3.0032078!4d101.3998871","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,Kuala Selangor,"No 30, Jalan Melati 3/1, Bandar Melawati, 45000 Kuala Selangor, Selangor","https://www.google.com/maps/place/CIMB+Bank+Kuala+Selangor/@3.3304672,101.2565897,21z/data=!4m5!3m4!1s0x31ccf49faa02fcaf:0x8d679b84032f321a!8m2!3d3.3303829!4d101.2566109","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,Bandar Sunway,"22, Jalan PJS 11/28A, Bandar Sunway, 46100 Petaling Jaya","https://www.google.com/maps/place/CIMB/@3.0732027,101.6075291,21z/data=!3m1!5s0x31cc4c879950b7d9:0x7d6f36d578deda77!4m8!1m2!2m1!1sCIMB+22,+Jalan+PJS+11%2F28A,+Bandar+Sunway,+46100+Petaling+Jaya!3m4!1s0x0:0xdf9a18379f8ec7c1!8m2!3d3.0731462!4d101.6077382","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,"Section 52, PJ","27, Jalan 52/2, 46200 Petaling Jaya","https://www.google.com/maps/place/CIMB+Bank/@3.1000316,101.643258,21z/data=!4m5!3m4!1s0x31cc4bc39afdf725:0xc9e8ec97cac2ee63!8m2!3d3.0999692!4d101.6432799","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,Bandar Utama,"Level 1-2, Wisma BU 8, No.11, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor","https://www.google.com/maps/place/CIMB+Bank+Bandar+Utama/@3.1363508,101.6084845,21z/data=!4m5!3m4!1s0x31cc4ee677fe409d:0x4ed75df36d1c9513!8m2!3d3.1362906!4d101.6085681","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,The Curve,"Lot G62, Ground FLoor The Curve, No. 6, Jalan PJU 7/3, Mutiara Damansara, 47800 Petaling Jaya.","https://www.google.com/maps/place/CIMB+Bank+The+Curve/@3.158139,101.6110508,21z/data=!4m8!1m2!2m1!1sCIMB+Lot+G62,+Ground+FLoor+The+Curve,+No.+6,+Jalan+PJU+7%2F3,+Mutiara+Damansara,+47800+Petaling+Jaya.!3m4!1s0x31cc4f2b8a436a75:0xaa59d9dfd5d8c958!8m2!3d3.1581909!4d101.6110565","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,SS2 PJ,"Ground Floor, 62, Jalan SS 2/60, 47300 Petaling Jaya, Selangor.","https://www.google.com/maps/place/CIMB+Bank+SS2+PJ/@3.1164557,101.6218845,21z/data=!4m5!3m4!1s0x31cc4956a20f86bf:0xa5df1b380f9e7154!8m2!3d3.1164139!4d101.6219818","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,Jaya Shopping Centre,"L1-21 (First Floor), Jaya Shopping Centre, Jalan 14/14, 46100 Petaling Jaya, Selangor","https://www.google.com/maps/place/CIMB+Bank+Jaya+Shopping+Centre/@3.1092687,101.6371752,21z/data=!4m5!3m4!1s0x31cc4be0f18d2c85:0xdd209e43e6b4f83c!8m2!3d3.1093245!4d101.6372044","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
Local Bank,Selangor,Sunwaymas,"1-1 Jalan PJU 1/3F, Sunwaymas Commercial Center, 47301 Petaling Jaya","https://www.google.com/maps/place/CIMB+Bank+Sunwaymas/@3.1202659,101.5973383,21z/data=!4m12!1m6!3m5!1s0x31cc4ea40f48c4cb:0xe91ad56c8debc861!2sCIMB+Bank+Sunwaymas!8m2!3d3.1203154!4d101.5973075!3m4!1s0x31cc4ea40f48c4cb:0xe91ad56c8debc861!8m2!3d3.1203154!4d101.5973075","https://www.cimb.com.my/en/personal/help-support/branch-locator.html?l=selangor,all-areas&t=branch-banking",Branches,CIMB
